Year,Month,Day,Unit,Rep,Height_cm
2021,6,10,318,3,44
2021,6,10,402,1,28.5
2021,6,10,402,2,34
2021,6,10,402,3,23
2021,6,10,404,1,35.5
2021,6,10,404,2,47
2021,6,10,404,3,48.5
2021,6,10,410,1,36.5
2021,6,10,410,2,32
2021,6,10,410,3,35.5
2021,6,10,416,1,52
2021,6,10,416,2,37.5
2021,6,10,416,3,41.5
2021,6,10,417,1,24
2021,6,10,417,2,25.5
2021,6,10,417,3,33
2021,6,10,418,1,41
2021,6,10,418,2,20
2021,6,10,418,3,35.5
2021,6,24,101,1,39.5
2021,6,24,101,2,38
2021,6,24,101,3,44.5
2021,6,24,103,1,52.5
2021,6,24,103,2,42.5
2021,6,24,103,3,61
2021,6,24,104,1,65.5
2021,6,24,104,2,53
2021,6,24,104,3,44
2021,6,24,111,1,68.5
2021,6,24,111,2,56
2021,6,24,111,3,53
2021,6,24,117,1,57
2021,6,24,117,2,63.5
2021,6,24,117,3,52.5
2021,6,24,118,1,67.5
2021,6,24,118,2,56
2021,6,24,118,3,55.5
2021,6,24,203,1,59.5
2021,6,24,203,2,53.5
2021,6,24,203,3,60.5
2021,6,24,207,2,43.5
2021,6,24,207,3,52.5
2021,6,24,208,1,63
2021,6,24,208,2,69.5
2021,6,24,208,3,63
2021,6,24,211,1,55.5
2021,6,24,211,2,53
2021,6,24,211,3,45.5
2021,6,24,212,1,42.5
2021,6,24,212,2,53
2021,6,24,212,3,45.5
2021,6,24,216,2,51.5
2021,6,24,216,3,42
2021,6,24,305,1,40.5
2021,6,24,305,2,58.5
2021,6,24,305,3,60
2021,6,24,306,1,55.5
2021,6,24,306,2,49.5
2021,6,24,306,3,32.5
2021,6,24,308,1,54.5
2021,6,24,308,2,60
2021,6,24,308,3,61
2021,6,24,311,1,39.5
2021,6,24,311,2,52
2021,6,24,311,3,47
2021,6,24,316,1,60.5
2021,6,24,316,2,54.5
2021,6,24,316,3,62
2021,6,24,318,1,55
2021,6,24,318,2,30
2021,6,24,318,3,62.5
2021,6,24,402,1,47
2021,6,24,402,2,55
2021,6,24,402,3,29.5
2021,6,24,404,1,43.5
2021,6,24,404,2,61
2021,6,24,404,3,60
2021,6,24,410,1,54.5
2021,6,24,410,2,48.5
2021,6,24,410,3,48
2021,6,24,416,1,68.5
2021,6,24,416,2,52
2021,6,24,416,3,52.5
2021,6,24,417,1,43
2021,6,24,417,2,42
2021,6,24,417,3,51
2021,6,24,418,1,55.5
2021,6,24,418,2,29.5
2021,6,24,418,3,45
2021,7,9,101,1,49.5
2021,7,9,101,2,46.5
2021,7,9,101,3,58.5
2021,7,9,103,1,61.5
2021,7,9,103,2,68
2021,7,9,103,3,77
2021,7,9,104,1,74
2021,7,9,104,2,83
2021,7,9,104,3,70.5
2021,7,9,111,1,67
2021,7,9,111,2,75.5
2021,7,9,111,3,62
2021,7,9,117,1,68.5
2021,7,9,117,2,76
2021,7,9,117,3,70
2021,7,9,118,1,86
2021,7,9,118,2,78
2021,7,9,118,3,75
2021,7,9,203,1,75
2021,7,9,203,2,75.5
2021,7,9,203,3,77.5
2021,7,9,207,1,61
2021,7,9,207,2,73
2021,7,9,208,1,78.5
2021,7,9,208,2,91.5
2021,7,9,208,3,85
2021,7,9,211,1,76
2021,7,9,211,2,79
2021,7,9,211,3,68.5
2021,7,9,212,1,45
2021,7,9,212,2,68.5
2021,7,9,212,3,54.5
2021,7,9,216,1,69.5
2021,7,9,216,2,62
2021,7,9,305,1,61.8
2021,7,9,305,2,65.5
2021,7,9,305,3,78.5
2021,7,9,306,1,75
2021,7,9,306,2,72
2021,7,9,306,3,57.5
2021,7,9,308,1,62.5
2021,7,9,308,2,81.5
2021,7,9,308,3,81.5
2021,7,9,311,1,60
2021,7,9,311,2,64
2021,7,9,311,3,65
2021,7,9,316,1,73.5
2021,7,9,316,2,73.5
2021,7,9,316,3,76.5
2021,7,9,318,1,62
2021,7,9,318,2,54
2021,7,9,318,3,90
2021,7,9,402,1,70
2021,7,9,402,2,61
2021,7,9,402,3,45
2021,7,9,404,1,71
2021,7,9,404,2,82
2021,7,9,404,3,80.5
2021,7,9,410,1,76
2021,7,9,410,2,72
2021,7,9,410,3,57
2021,7,9,416,1,89
2021,7,9,416,2,83
2021,7,9,416,3,78
2021,7,9,417,1,65
2021,7,9,417,2,67.5
2021,7,9,417,3,70
2021,7,9,418,1,47.5
2021,7,9,418,2,58
2021,7,9,418,3,73.5
2021,7,29,101,1,20.5
2021,7,29,101,2,19
2021,7,29,101,3,26
2021,7,29,103,1,95
2021,7,29,103,2,85
2021,7,29,103,3,73
2021,7,29,104,1,90
2021,7,29,104,2,102
2021,7,29,104,3,86
2021,7,29,111,1,83
2021,7,29,111,2,89
2021,7,29,111,3,88
2021,7,29,117,1,90
2021,7,29,117,2,87
2021,7,29,117,3,77
2021,7,29,118,1,98
2021,7,29,118,2,90
2021,7,29,118,3,79
2021,7,29,203,1,69.5
2021,7,29,203,2,88
2021,7,29,203,3,88
2021,7,29,207,2,72
2021,7,29,207,3,85
2021,7,29,208,1,103
2021,7,29,208,2,106
2021,7,29,208,3,97
2021,7,29,211,1,86
2021,7,29,211,2,91
2021,7,29,211,3,83.5
2021,7,29,212,1,61
2021,7,29,212,2,70
2021,7,29,212,3,60
2021,7,29,216,2,80
2021,7,29,216,3,73.5
2021,7,29,305,1,66
2021,7,29,305,2,77
2021,7,29,305,3,88
2021,7,29,306,1,77
2021,7,29,306,2,97
2021,7,29,306,3,82
2021,7,29,308,1,73
2021,7,29,308,2,97
2021,7,29,308,3,84
2021,7,29,311,1,62
2021,7,29,311,2,71.5
2021,7,29,311,3,64.5
2021,7,29,316,1,90.5
2021,7,29,316,2,85
2021,7,29,316,3,99.5
2021,7,29,318,1,75
2021,7,29,318,2,70.5
2021,7,29,318,3,99
2021,7,29,402,1,70
2021,7,29,402,2,79
2021,7,29,402,3,65
2021,7,29,404,1,75
2021,7,29,404,2,88
2021,7,29,404,3,83.5
2021,7,29,410,1,79
2021,7,29,410,2,82
2021,7,29,410,3,73
2021,7,29,416,1,101.5
2021,7,29,416,2,94.5
2021,7,29,416,3,90
2021,7,29,417,1,75
2021,7,29,417,2,62.5
2021,7,29,417,3,76
2021,7,29,418,1,84
2021,7,29,418,2,53.5
2021,7,29,418,3,66
2021,8,20,101,1,55
2021,8,20,101,2,47
2021,8,20,101,3,69
2021,8,20,103,1,84
2021,8,20,103,2,89
2021,8,20,103,3,105
2021,8,20,104,1,98
2021,8,20,104,2,108
2021,8,20,104,3,92
2021,8,20,111,1,94
2021,8,20,111,2,83
2021,8,20,111,3,90
2021,8,20,117,1,97
2021,8,20,117,2,90
2021,8,20,117,3,87
2021,8,20,118,1,105
2021,8,20,118,2,92
2021,8,20,118,3,80
2021,8,20,203,1,89
2021,8,20,203,2,94
2021,8,20,203,3,97
2021,8,20,207,2,74
2021,8,20,207,3,90
2021,8,20,208,1,104
2021,8,20,208,2,109
2021,8,20,208,3,104
2021,8,20,211,1,92
2021,8,20,211,2,97
2021,8,20,211,3,93
2021,8,20,212,1,69
